Unnamed: 0,Floor No,Units Available,Covered Area,Carpet Area,Sqft Price,Total Amenities,Area Difference (%),Floors,Price_Millions,Possession Status,Flooring Type,Society,Furnished Type,Facing,Transaction Type,Type of Property,City,Bathroom,Parking,Bedroom,Balconies,Ownership Type
5448,2,0,850,625,12941,90,26,4,10.99985,Ready to Move,Normal Tiles/Kotah Stone,N,Semi-Furnished,East,Resale,Apartment,Thane,1,1,2,1,Co-operative Society
5449,18,1,1060,650,11320,90,38,36,11.9992,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5450,34,1,1200,858,12333,89,28,36,14.7996,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5451,10,0,1100,745,12273,89,32,25,13.5003,Under Construction,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5452,7,30,743,450,6191,90,39,35,4.599913,Under Construction,Granite,N,Semi-Furnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
5453,6,0,1493,960,9711,90,35,28,14.498523,Ready to Move,Vitrified,N,Semi-Furnished,South -West,Resale,Apartment,Thane,3,1,3,3,Freehold
5454,9,3,720,472,10347,89,34,29,7.44984,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,1,1,Freehold
5455,14,3,830,610,11566,90,26,28,9.59978,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
5456,20,1,900,700,11111,90,22,26,9.9999,Ready to Move,Ceramic Tiles,N,Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5457,9,0,950,700,13157,89,26,17,12.49915,Ready to Move,Vitrified,N,Furnished,East,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
5458,19,1,820,675,20122,16,17,24,16.50004,Ready to Move,Mosaic,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5459,2,0,710,622,16197,0,12,3,11.49987,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
5460,7,1,507,385,14792,90,24,7,7.499544,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,1,1,Freehold
5461,0,0,766,620,11800000,2,19,3,11.8,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Co-operative Society
5462,3,1,550,455,13636,2,17,3,7.4998,Ready to Move,Vitrified,N,Semi-Furnished,North,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5463,2,0,783,600,10855,11,23,28,8.499465,Ready to Move,Ceramic Tiles,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
5464,2,1,560,453,8500000,23,19,28,8.5,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,1,1,Freehold
5465,10,0,515,322,8737,89,37,21,4.499555,Under Construction,Granite,Y,Unfurnished,West,New Property,Apartment,Thane,2,1,1,2,Freehold
5466,8,1,1175,857,11489,90,27,16,13.499575,Ready to Move,Ceramic Tiles,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
5467,1,1,985,708,15431,90,28,64,15.199535,Under Construction,Ceramic Tiles,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
5468,1,1,1278,940,17057,90,26,64,21.798846,Under Construction,Ceramic Tiles,Y,Unfurnished,North - East,New Property,Apartment,Thane,3,1,3,1,Freehold
5469,12,10,572,572,12412,90,0,24,7.099664,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
5470,7,0,640,460,11562,90,28,18,7.39968,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,1,1,Freehold
5471,7,0,999,670,10511,90,32,30,10.500489,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Freehold
5472,15,0,1000,690,11000,90,31,41,11.0,Under Construction,Vitrified,Y,Unfurnished,North,New Property,Apartment,Thane,2,1,2,1,Freehold
5473,12,0,519,371,14258,90,28,26,7.399902,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
5474,27,24,980,600,8673,89,38,28,8.49954,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
5475,3,9,550,400,10000,89,27,7,5.5,Ready to Move,Mosaic,N,Semi-Furnished,North,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5476,8,10,537,349,8193,90,35,22,4.399641,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Builder Floor Apartment,Thane,2,1,1,1,Freehold
5477,5,108,550,323,6345,90,41,22,3.48975,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
5478,4,50,1266,911,11058,90,28,7,13.999428,Ready to Move,Granite,N,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Co-operative Society
5479,10,15,650,427,10615,90,34,25,6.89975,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5480,8,4,900,720,14444,90,20,10,12.9996,Ready to Move,Ceramic Tiles,N,Unfurnished,South,Resale,Apartment,Thane,2,1,2,1,Freehold
5481,23,6,1264,1023,19600000,90,19,32,19.6,Under Construction,Vitrified,N,Unfurnished,Unknown,New Property,Apartment,Thane,3,1,3,3,Freehold
5482,21,0,1020,750,12549,89,26,30,12.79998,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,3,1,3,1,Freehold
5483,27,0,1885,1300,18568,89,31,30,35.00068,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,3,Freehold
5484,10,0,1100,687,10000,89,37,25,11.0,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Freehold
5485,15,7,999,750,17017,90,24,27,16.999983,Ready to Move,Marble,N,Furnished,East,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
5486,18,4,1790,1400,16759,90,21,27,29.99861,Ready to Move,Marble,N,Semi-Furnished,North - East,Resale,Apartment,Thane,3,1,3,1,Co-operative Society
5487,31,10,568,355,10871,90,37,45,6.174728,Under Construction,Vitrified,N,Unfurnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
5488,4,2,600,450,10833,89,25,7,6.4998,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,1,1,1,1,Freehold
5489,20,30,800,625,13179,90,21,21,10.5432,Under Construction,Vitrified,N,Unfurnished,North,New Property,Apartment,Thane,2,1,2,3,Leasehold
5490,11,5,650,649,20461,90,0,42,13.29965,Under Construction,Vitrified,Y,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
5491,7,25,785,444,5668,90,43,24,4.44938,Under Construction,Vitrified,Y,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
5492,46,300,1200,950,15550,90,20,50,18.66,Under Construction,Vitrified,Y,Unfurnished,Unknown,New Property,Apartment,Thane,3,1,3,1,Freehold
5493,2,300,770,660,16796,90,14,50,12.93292,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,2,Freehold
5494,5,4,462,461,19913,90,0,35,9.199806,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
5495,12,3,1600,1200,18437,90,25,28,29.4992,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,3,3,Co-operative Society
5496,11,2,965,655,9326,89,32,15,8.99959,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Thane,2,1,2,2,Freehold
5497,3,2,565,430,10973,90,23,7,6.199745,Ready to Move,Ceramic Tiles,N,Semi-Furnished,North,Resale,Apartment,Thane,2,1,1,1,Co-operative Society
5498,5,1,675,492,8888,90,27,14,5.9994,Ready to Move,Vitrified,N,Semi-Furnished,North,Resale,Apartment,Thane,2,1,1,1,Co-operative Society
5499,16,5,750,750,17333,90,0,32,12.99975,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5500,12,0,716,716,15921,89,0,25,11.399436,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
5501,15,0,450,450,12000,90,0,36,5.4,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,2,Freehold
5502,18,0,1303,874,20338,16,32,32,26.500414,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,2,4,Freehold
5503,16,0,950,725,14211,89,23,28,13.50045,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Power Of Attorney
5504,25,1,1655,1100,14199,89,33,27,23.499345,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,3,4,Co-operative Society
5505,5,0,700,700,19285,90,0,30,13.4995,Ready to Move,Granite,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
5506,1,5,322,322,16149,90,0,23,5.199978,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
5507,4,0,530,410,8490,90,22,4,4.4997,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5508,3,1,640,450,5468,9,29,7,3.49952,Ready to Move,Vitrified,N,Semi-Furnished,South -West,Resale,Apartment,Thane,1,0,1,1,Freehold
5509,7,0,1600,1050,13750,19,34,20,22.0,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,3,1,3,5,Co-operative Society
5510,8,1,1425,1090,20000,89,23,21,28.5,Ready to Move,Ceramic Tiles,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,3,2,Co-operative Society
5511,6,1,1500,1200,13266,90,20,7,19.899,Ready to Move,Vitrified,N,Furnished,East,Resale,Penthouse,Thane,3,1,3,1,Co-operative Society
5512,11,5,1300,906,12692,90,30,23,16.4996,Ready to Move,Ceramic Tiles,N,Unfurnished,North,Resale,Apartment,Thane,2,1,3,3,Freehold
5513,1,4,1919,1260,12558,89,34,32,24.098802,Ready to Move,Marble,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,3,Freehold
5514,30,0,1185,650,9451,90,45,30,11.199435,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,3,1,Freehold
5515,14,0,1695,1300,18289,90,23,24,30.999855,Ready to Move,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,3,1,3,1,Co-operative Society
5516,5,1,1050,720,12857,90,31,15,13.49985,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
5517,10,0,1500,1000,16666,90,33,20,24.999,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Thane,2,1,3,1,Freehold
5518,0,0,1500,1344,19333,89,10,7,28.9995,Ready to Move,Vitrified,N,Semi-Furnished,South,Resale,Apartment,Thane,3,1,3,2,Freehold
5519,3,0,1350,1350,16000,89,0,3,21.6,Ready to Move,Ceramic Tiles,N,Furnished,North,Resale,Villa,Thane,4,1,4,3,Freehold
5520,4,0,1750,1400,20000,89,20,27,35.0,Ready to Move,Ceramic Tiles,N,Semi-Furnished,East,Resale,Apartment,Thane,4,1,4,2,Freehold
5521,2,0,1000,830,13000,89,17,6,13.0,Ready to Move,Marble,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,4,Freehold
5522,21,2,1138,921,15800000,90,19,28,15.8,Ready to Move,Vitrified,Y,Unfurnished,North,New Property,Apartment,Thane,3,1,3,3,Freehold
5523,9,0,1500,1100,16000,90,26,18,24.0,Ready to Move,Vitrified,N,Furnished,North,Resale,Apartment,Thane,3,1,3,1,Freehold
5524,9,0,2560,1600,10156,89,37,9,25.99936,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Penthouse,Thane,3,1,4,2,Co-operative Society
5525,18,2,1225,835,10693,89,31,19,13.098925,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,3,1,Freehold
5526,16,4,1505,965,17275,89,35,27,25.998875,Ready to Move,Granite,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,1,Freehold
5527,11,0,1174,950,15400000,89,19,19,15.4,Ready to Move,Marble,N,Furnished,East,Resale,Apartment,Thane,3,1,3,1,Freehold
5528,20,7,600,385,11665,90,35,32,6.999,Under Construction,Granite,Y,Unfurnished,East,New Property,Apartment,Thane,1,1,1,1,Freehold
5529,10,0,1100,660,10181,90,40,15,11.1991,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
5530,14,0,774,580,11628,20,25,16,9.000072,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,1,2,2,Freehold
5531,10,1,531,531,16007,90,0,30,8.499717,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
5532,10,0,1230,995,32000000,5,19,12,32.0,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,3,1,3,1,Freehold
5533,16,2,1200,1080,19000,90,10,26,22.8,Ready to Move,Vitrified,N,Semi-Furnished,West,Resale,Apartment,Thane,3,1,3,2,Freehold
5534,4,0,1100,750,15909,89,31,12,17.4999,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5535,5,0,1000,645,10200,90,35,23,10.2,Ready to Move,Granite,N,Furnished,East,Resale,Apartment,Thane,2,1,2,3,Freehold
5536,4,0,1800,1200,14444,89,33,32,25.9992,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,2,Freehold
5537,8,0,1450,1450,22758,89,0,13,32.9991,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,4,1,Freehold
5538,15,0,1670,1256,11856,89,24,27,19.79952,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,3,1,3,1,Freehold
5539,10,0,1916,1260,15135,89,34,30,28.99866,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,4,1,3,3,Co-operative Society
5540,16,0,1086,800,16575,89,26,27,18.00045,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,3,3,Co-operative Society
5541,12,0,2460,1600,17276,90,34,28,42.49896,Ready to Move,Vitrified,N,Unfurnished,North,Resale,Apartment,Thane,4,1,4,1,Freehold
5542,15,2,1040,710,11057,90,31,27,11.49928,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
5543,18,6,522,322,17241,90,38,22,8.999802,Under Construction,Vitrified,Y,Semi-Furnished,West,New Property,Apartment,Thane,2,1,1,1,Freehold
5544,6,1,1060,750,10377,89,29,19,10.99962,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,3,1,Freehold
5545,10,0,550,425,14545,89,22,10,7.99975,Ready to Move,Ceramic Tiles,N,Unfurnished,North,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5546,3,0,2015,1343,19851,89,33,3,39.999765,Ready to Move,Granite,N,Unfurnished,East,Resale,Apartment,Thane,3,1,3,3,Freehold
5547,24,0,910,710,13186,89,21,32,11.99926,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,3,Freehold
5548,8,2,1916,1175,12996,89,38,28,24.900336,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,3,1,3,3,Freehold
5549,18,5,1170,828,11623,89,29,27,13.59891,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Freehold
5550,20,5,890,679,17865,89,23,23,15.89985,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,3,1,Freehold
5551,18,3,1300,850,15000,90,34,27,19.5,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Thane,2,1,3,3,Co-operative Society
5552,2,1,1500,1100,11533,90,26,10,17.2995,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Thane,3,1,3,1,Freehold
5553,1,0,1015,775,11823,7,23,15,12.000345,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,0,2,1,Co-operative Society
5554,3,0,410,380,15122,17,7,6,6.20002,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Co-operative Society
5555,11,1,918,743,9000000,25,19,28,9.0,Ready to Move,Wooden,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,1,2,1,Freehold
5556,2,0,1165,818,13304,19,29,20,15.49916,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,2,1,2,4,Co-operative Society
5557,12,0,1100,801,13636,89,27,52,14.9996,Under Construction,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,3,Freehold
5558,7,0,450,390,18889,22,13,27,8.50005,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,1,1,Freehold
5559,7,1,525,410,16190,15,21,11,8.49975,Ready to Move,Vitrified,N,Unfurnished,South,Resale,Apartment,Thane,1,0,1,1,Freehold
5560,21,1,1175,897,16766,52,23,38,19.70005,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,3,1,3,2,Freehold
5561,2,0,976,686,12500,20,29,30,12.2,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5562,21,300,920,770,11957,90,16,40,11.00044,Under Construction,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Freehold
5563,23,1,530,450,17777,90,15,40,9.42181,Ready to Move,Ceramic Tiles,N,Furnished,North - East,Resale,Apartment,Thane,2,1,1,1,Freehold
5564,3,0,620,480,10000,3,22,5,6.2,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,3,Freehold
5565,12,0,981,981,16922,89,0,28,16.600482,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,3,1,3,2,Freehold
5566,12,0,1100,665,13818,89,39,33,15.1998,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,3,Freehold
5567,12,6,757,757,16512,90,0,39,12.499584,Under Construction,Ceramic Tiles,Y,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
5568,9,1,690,472,10870,89,31,33,7.5003,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,1,1,Freehold
5569,7,10,627,433,7336,90,30,31,4.599672,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,1,1,1,1,Freehold
5570,16,1,1050,650,10000,89,38,33,10.5,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5571,20,15,532,431,4800000,90,19,39,4.8,Under Construction,Normal Tiles/Kotah Stone,Y,Furnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
5572,20,15,754,610,7200000,90,19,39,7.2,Under Construction,Normal Tiles/Kotah Stone,Y,Furnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
5573,8,0,1050,755,13333,89,28,18,13.99965,Ready to Move,Marble,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5574,10,1,1950,1360,21076,90,30,19,41.0982,Ready to Move,Vitrified,N,Furnished,East,Resale,Apartment,Thane,3,1,3,1,Freehold
5575,11,5,1150,820,15217,25,28,23,17.49955,Ready to Move,Vitrified,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,1,3,1,Freehold
5576,2,1,585,450,16068,12,23,19,9.39978,Under Construction,Vitrified,Y,Semi-Furnished,Unknown,New Property,Apartment,Thane,2,1,1,2,Freehold
5577,2,1,938,738,13646,12,21,18,12.799948,Under Construction,Vitrified,Y,Semi-Furnished,Unknown,New Property,Apartment,Thane,2,1,2,2,Freehold
5578,22,40,620,446,14193,90,28,40,8.79966,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Co-operative Society
5579,14,1,950,568,10526,89,40,40,9.9997,Under Construction,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5580,4,50,1388,868,13616,90,37,7,18.899008,Under Construction,Marble,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
5581,10,10,1040,722,11057,90,30,40,11.49928,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
5582,24,55,1100,755,12727,89,31,55,13.9997,Under Construction,Marble,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
5583,11,20,453,453,16556,89,0,17,7.499868,Ready to Move,Granite,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,0,Freehold
5584,9,3,1900,1145,13157,90,39,26,24.9983,Under Construction,Ceramic Tiles,Y,Unfurnished,North,New Property,Apartment,Thane,3,1,3,3,Freehold
5585,5,0,550,400,8545,90,27,7,4.69975,Ready to Move,Vitrified,N,Unfurnished,North,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5586,9,0,1050,640,10952,90,39,28,11.4996,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
5587,22,178,1850,1350,13189,90,27,51,24.39965,Under Construction,Ceramic Tiles,Y,Unfurnished,North - East,New Property,Apartment,Thane,4,1,3,4,Freehold
5588,7,2,925,745,9729,90,19,7,8.999325,Ready to Move,Ceramic Tiles,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,1,2,1,Freehold
5589,11,0,1446,1170,25500000,90,19,31,25.5,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,3,1,Freehold
5590,18,0,2744,1753,12135,89,36,43,33.29844,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,4,1,4,2,Freehold
5591,2,1,921,671,10966,89,27,32,10.099686,Under Construction,Vitrified,N,Unfurnished,West,New Property,Apartment,Thane,2,1,2,3,Freehold
5592,12,10,958,521,8246,89,45,17,7.899668,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,2,Freehold
5593,6,10,1665,1040,11111,89,37,7,18.499815,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,1,Freehold
5594,19,10,1715,1072,17201,89,37,33,29.499715,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,1,Freehold
5595,20,0,750,585,16667,10,22,23,12.50025,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,1,2,3,Co-operative Society
5596,18,0,1200,580,10417,89,51,18,12.5004,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Thane,2,1,1,1,Co-operative Society
5597,3,0,2100,1400,20238,4,33,3,42.4998,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Villa,Thane,4,0,4,1,Freehold
5598,6,0,1317,705,7213,8,46,8,9.499521,Ready to Move,Vitrified,N,Unfurnished,North,Resale,Apartment,Thane,2,0,2,1,Freehold
5599,11,0,480,424,26042,10,11,33,12.50016,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,0,1,1,Co-operative Society
5600,5,1,2540,1939,21260,52,23,7,54.0004,Under Construction,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,4,1,4,3,Freehold
5601,7,1,1380,1162,14420,90,15,20,19.8996,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,3,2,Freehold
5602,5,0,635,438,12598,7,31,7,7.99973,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Thane,1,0,1,1,Freehold
5603,5,0,920,670,10217,90,27,9,9.39964,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
5604,16,0,800,720,14000,21,10,20,11.2,Ready to Move,Ceramic Tiles,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
5605,1,0,1317,890,6834,8,32,7,9.000378,Ready to Move,Vitrified,N,Semi-Furnished,South,Resale,Apartment,Thane,2,0,2,1,Co-operative Society
5606,1,0,570,490,12807,9,14,4,7.29999,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Builder Floor Apartment,Thane,1,0,1,1,Co-operative Society
5607,3,0,680,404,13235,89,40,8,8.9998,Ready to Move,Vitrified,N,Furnished,East,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
5608,13,1,1179,737,10772,89,37,27,12.700188,Ready to Move,Vitrified,N,Unfurnished,South - East,Resale,Apartment,Thane,2,1,2,1,Freehold
5609,24,0,1625,1100,7877,89,32,30,12.800125,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Thane,3,1,3,1,Freehold
5610,3,0,635,438,14173,3,31,3,8.999855,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,1,0,1,1,Co-operative Society
5611,25,1,650,585,14153,19,10,30,9.19945,Ready to Move,Wooden,N,Unfurnished,North - West,Resale,Apartment,Thane,2,1,2,1,Freehold
5612,15,1,1317,890,8352,90,32,15,10.999584,Ready to Move,Vitrified,N,Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
5613,7,0,903,549,8306,23,39,14,7.500318,Ready to Move,Ceramic Tiles,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,1,2,3,Co-operative Society
5614,3,0,635,438,9449,8,31,3,6.000115,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,0,1,1,Freehold
5615,1,1,713,585,19635,89,17,7,13.999755,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
5616,14,1,1150,910,10000,25,20,15,11.5,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,3,Co-operative Society
5617,24,0,1200,820,15417,89,31,31,18.5004,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,2,Freehold
5618,12,10,572,572,11363,90,0,24,6.499636,Under Construction,Granite,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,2,Freehold
5619,14,1,787,787,16264,89,0,29,12.799768,Ready to Move,Vitrified,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,1,2,1,Freehold
5620,6,16,1101,891,15600000,90,19,6,15.6,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,3,2,Freehold
5621,4,2,875,540,7428,90,38,7,6.4995,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,3,Co-operative Society
5622,10,15,548,444,4400000,90,19,24,4.4,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,1,3,Freehold
5623,17,24,800,674,13875,90,15,32,11.1,Under Construction,Ceramic Tiles,N,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
5624,4,0,600,450,11666,90,25,7,6.9996,Ready to Move,Ceramic Tiles,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,1,1,1,Freehold
